kepid,kepoi_name,koi_disposition,koi_score,koi_period,koi_prad,koi_teq,koi_insol,koi_steff,koi_srad,koi_slogg,koi_kepmag,rho_p,Pmin_day,planet_type,is_habitable
12352520,K03094.01,2,1.0,4.5770016,1.33,567.0,24.38,3805.0,0.497,4.767,15.737,5.5,0.22386075217339096,rocky,False
7455981,K03096.01,2,0.941,14.4540329,0.72,676.0,49.51,5559.0,0.79,4.496,13.572,5.5,0.22386075217339096,rocky,False
9823519,K02793.02,2,0.999,1.766789509,1.4,730.0,66.95,3698.0,0.444,4.81,16.283,5.5,0.22386075217339096,rocky,False
2715695,K03077.02,1,0.976,7.55842923,1.46,694.0,54.85,4791.0,0.742,4.577,15.958,5.5,0.22386075217339096,rocky,False
10587105,K00339.03,2,1.0,35.8656484,2.44,633.0,37.92,6078.0,1.189,4.29,13.763,3.0,0.30310889132455354,intermediate,False
8558011,K00577.02,2,1.0,0.638162933,0.91,1874.0,2928.31,5244.0,0.888,4.449,14.405,5.5,0.22386075217339096,rocky,False
5283728,K05149.01,1,0.999,43.681309,1.33,473.0,11.86,5726.0,0.829,4.564,15.649,5.5,0.22386075217339096,rocky,False
5374838,K05155.01,1,0.953,230.180357,7.57,347.0,3.41,6313.0,1.246,4.364,15.469,1.0,0.525,gas_giant,False
6372194,K05278.01,1,0.996,281.5921577,7.22,225.0,0.61,5330.0,0.713,4.627,15.87,1.0,0.525,gas_giant,False
5294945,K03463.01,1,0.854,32.5474295,1.42,618.0,34.42,6068.0,1.061,4.384,14.564,5.5,0.22386075217339096,rocky,False
7742408,K03478.01,2,0.998,33.4969115,2.97,630.0,37.3,4928.0,1.688,3.966,13.354,3.0,0.30310889132455354,intermediate,False
8231667,K03494.01,2,1.0,42.8774169,2.67,451.0,9.8,5256.0,0.832,4.483,15.654,3.0,0.30310889132455354,intermediate,False
6697817,K03508.01,1,0.975,190.800788,1.67,321.0,2.51,5993.0,0.986,4.489,14.322,3.0,0.30310889132455354,intermediate,False
5437945,K03791.02,2,0.902,220.142913,5.94,389.0,5.4,6340.0,1.393,4.163,13.771,1.6,0.4150489428970998,neptune_like,False
4135912,K05040.01,1,0.974,29.6094263,2.87,789.0,91.56,6079.0,1.783,4.059,14.385,3.0,0.30310889132455354,intermediate,False
5443320,K05169.01,1,0.991,21.3684341,1.72,551.0,21.86,5204.0,0.786,4.515,15.47,3.0,0.30310889132455354,intermediate,False
6511182,K05288.01,1,0.994,29.5632952,1.9,527.0,18.23,5595.0,0.828,4.562,15.684,3.0,0.30310889132455354,intermediate,False
1873513,K04928.01,2,0.998,3.290304098,4.91,540.0,20.06,3386.0,0.427,4.81,15.669,1.6,0.4150489428970998,neptune_like,False
5551240,K05178.01,2,1.0,4.13960513,1.24,1352.0,789.48,6535.0,1.181,4.373,14.275,5.5,0.22386075217339096,rocky,False
6543192,K05297.01,1,0.962,8.0906952,0.8,811.0,102.43,5374.0,0.902,4.495,14.441,5.5,0.22386075217339096,rocky,False
6675757,K05310.01,1,0.982,22.2903562,1.13,632.0,37.67,5597.0,1.0,4.418,13.993,5.5,0.22386075217339096,rocky,False
2310993,K04938.01,1,0.997,55.180772,2.37,531.0,18.79,6306.0,1.076,4.426,15.551,3.0,0.30310889132455354,intermediate,False
